Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"O Karabiber Cura, A Akan…","Classification of epileptic and psychogenic nonepileptic seizures via time–frequency features of EEG data",2023,"International Journal of …","World Scientific","https://www.worldscientific.com/doi/abs/10.1142/S0129065723500454","https://scholar.google.com/scholar?cites=10443271866559213527&as_sdt=80005&sciodt=0,11&hl=en",23,"2026-08-23 16:46:44","","10.1142/S0129065723500454","",,,,,,7,2.33,2,3,3,"The majority of psychogenic nonepileptic seizures (PNESs) are brought on by psychogenic causes, but because their symptoms resemble those of epilepsy, they are frequently …","","https://scholar.google.com/scholar?q=related:168Xi2707ZAJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
5,"VM Shervegar","Heart sound classification using wavelet scattering transform and support vector machine",2023,"Intelligent Data Analysis","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.3233/IDA-237432","https://scholar.google.com/scholar?cites=8112202830323997062&as_sdt=80005&sciodt=0,11&hl=en",24,"2026-08-23 16:46:44","","10.3233/IDA-237432","",,,,,,5,1.67,5,1,3,"OBJECTIVE: A representation of the sound recordings that are associated with the movement of the entire cardiac structure is termed the Phonocardiogram (PCG) signal. In …","","https://scholar.google.com/scholar?q=related:hllhb35VlHAJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"I Puspasari, N Watanabe, M Ohwada, N Ahmadi…","Improved accuracy of PCG signal classification for myocardial infarction biomarker using automatic feature selection and boosting process",2026,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-026-63214-7","",25,"2026-08-23 16:46:44","","","",,,,,,0,0.00,0,5,1,"Myocardial infarction (MI) is a leading global health concern, typically diagnosed using ECG, biomarkers, or imaging, which costly or unavailable in low-resource settings. This study …","https://www.nature.com/articles/s41598-026-63214-7_reference.pdf","https://scholar.google.com/scholar?q=related:xXHpsFI50bYJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"M Fynn, M Marocchi, J Rashid, Y Rong, G Saha…","Non-Invasive Detection of Coronary Artery Disease Using Wearable Vest with Integrated Phonocardiogram Sensors",2026,"Journal of Vascular …","mdpi.com","https://www.mdpi.com/2813-2475/5/2/11","",26,"2026-08-23 16:46:44","HTML","","",,,,,,0,0.00,0,6,1,"Background: Cardiovascular disease (CVD) remains the leading cause of death and disability worldwide. Among its subtypes, coronary artery disease (CAD) is the most …","https://www.mdpi.com/2813-2475/5/2/11","https://scholar.google.com/scholar?q=related:Yomhca-TveIJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"F Chen, R Wang, P Shi, C Ma, G Wang…","REM-Net: MEMS-Based Synchronized PCG-ECG Analysis Framework for High-Precision CAD Diagnosis",2025,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11082491/","",27,"2026-08-23 16:46:44","","","",,,,,,0,0.00,0,6,1,"Early detection of coronary artery disease (CAD) demands both high-fidelity signal acquisition and sophisticated analysis methods to capture subtle cardiac abnormalities …","","https://scholar.google.com/scholar?q=related:1_0uGym1HJ0J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
4,"Y Rong, M Fynn, S Nordholm","9 A Pre-Screening",2024,"Non-invasive health systems …","books.google.com","https://books.google.com/books?hl=en&lr=&id=oubvEAAAQBAJ&oi=fnd&pg=PA172&ots=zofu-YG4RZ&sig=TzSyF9zUCmsp-45Wukd2t4oaVfw","https://scholar.google.com/scholar?cites=6131195564503021974&as_sdt=80005&sciodt=0,11&hl=en",28,"2026-08-23 16:46:44","","","",,,,,,4,2.00,1,3,2,"Cardiovascular disease (CVD) including coronary artery disease (CAD) is the leading cause of mortality and morbidity in the world [1], contributing 31% towards all global deaths. Early …","https://ddfe.curtin.edu.au/yurong/CRC_Book_Chapter.pdf","https://scholar.google.com/scholar?q=related:ljmnpuFhFlUJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"A Maity, S Sinha, M Fynn, M Marocchi…","Multistage Fusion Framework for Coronary Artery Disease Detection from Multichannel Phonocardiogram",2025,"… Conference on Pattern …","Springer","https://link.springer.com/chapter/10.1007/978-3-032-18480-1_17","",29,"2026-08-23 16:46:44","","10.1007/978-3-032-18480-1_17","",,,,,,0,0.00,0,5,1,"Coronary artery disease (CAD) remains one of the leading causes of mortality worldwide. Phonocardiogram (PCG) signals offer a non-invasive, affordable, and accessible means for …","https://ddfe.curtin.edu.au/yurong/PReMI.pdf","https://scholar.google.com/scholar?q=related:Er56hOt3oLAJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"N Giordano, S Cannone, M Knaflitz…","Impact of the auscultation area on heart sound waveforms for the estimation of Cardiac Time Intervals",2025,"2025 47th Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11254057/","",30,"2026-08-23 16:46:44","","","",,,,,,0,0.00,0,4,1,"Although clinicians still regard traditional auscultation as a key bedside assessment tool, interest in its digital counterpart has recently grown. Digitalizing heart sounds enables the …","","https://scholar.google.com/scholar?q=related:BBWs9iLIOd0J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"M Fynn, M Marocchi, A Maity…","Non-Invasive Detection of Coronary Artery Disease and Valvular Disorders Using a Multichannel PCG Vest",2025,"2025 47th Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11254510/","",31,"2026-08-23 16:46:44","","","",,,,,,0,0.00,0,4,1,"Coronary artery disease (CAD) and valvular heart disorder (VHD) are major categories of cardiovascular disease (CVD), the leading cause of mortality and morbidity worldwide. CAD …","https://ddfe.curtin.edu.au/yurong/EMBC_Fynn.pdf","https://scholar.google.com/scholar?q=related:4sD5EdYcbscJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
1,"A Souidi, SMEA Debbal…","The study of the impact of murmurs on heart sounds by using multiple signal classification pseudo-spectrum",2024,"Polish Journal of Medical …","reference-global.com","https://reference-global.com/article/10.2478/pjmpe-2024-0011","https://scholar.google.com/scholar?cites=335961571394180551&as_sdt=80005&sciodt=0,11&hl=en",32,"2026-08-23 16:46:44","","10.2478/pjmpe-2024-0011","",,,,,,1,0.50,0,3,2,"The aim of this study was to present a novel framework for the analysis of the impact of murmurs on heart sounds recorded in real clinical environment. Heart sound records were …","https://reference-global.com/download/article/10.2478/pjmpe-2024-0011.pdf","https://scholar.google.com/scholar?q=related:x9Uh6USTqQQJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
2,"N Giordano, S Rosati, M Knaflitz…","Comparison of hierarchical and partitional clustering in multi-source phonocardiography",2022,"2022 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9856547/","https://scholar.google.com/scholar?cites=10260153027740340590&as_sdt=80005&sciodt=0,11&hl=en",33,"2026-08-23 16:46:44","","","",,,,,,2,0.50,1,4,4,"Phonocardiography (PCG) has proved a valuable tool over the years to monitor the status of at-risk patients for some cardiovascular diseases. Its multi-source version, consisting of the …","","https://scholar.google.com/scholar?q=related:bpGcb9FiY44J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"M Saraswat, CLP Gupta","An Intelligent Systems for Heart Sound Signal Analysis",2025,"2025 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11052108/","",34,"2026-08-23 16:46:44","","","",,,,,,0,0.00,0,2,1,"Globally, heart failure is the leading cause of death. One of the first diagnostic techniques for examining the state of the heart is cardiac auscultation. The heart's mechanical activity …","","https://scholar.google.com/scholar?q=related:FK3zpuCTbZwJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"A Supani, S Nurmaini, RU Partan…","Deep Learning for Coronary Artery Stenosis Segmentation: A Preliminary Study",2025,"… des Systemes d' …","researchgate.net","https://www.researchgate.net/profile/Ahyar-Supani/publication/395625353_Deep_Learning_for_Coronary_Artery_Stenosis_Segmentation_A_Preliminary_Study/links/691b5901de8143098271db34/Deep-Learning-for-Coronary-Artery-Stenosis-Segmentation-A-Preliminary-Study.pdf","",35,"2026-08-23 16:46:44","PDF","","",,,,,,0,0.00,0,4,1,"Manual stenosis interpretation in X-ray Coronary Angiography (XCA) is often subjective and prone to high inter-observer variability, primarily due to the small diameter of coronary …","https://www.researchgate.net/profile/Ahyar-Supani/publication/395625353_Deep_Learning_for_Coronary_Artery_Stenosis_Segmentation_A_Preliminary_Study/links/691b5901de8143098271db34/Deep-Learning-for-Coronary-Artery-Stenosis-Segmentation-A-Preliminary-Study.pdf","https://scholar.google.com/scholar?q=related:bFTJtjhhF7oJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"M Adamopoulou, M Jiang, CJ Nnonyelu…","Improving Cardiac Auscultation Signal Quality by using 4-Channel Stethoscope Array",2024,"2024 IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10560871/","",36,"2026-08-23 16:46:44","","","",,,,,,0,0.00,0,4,2,"In cardiac auscultation, the ability to clearly hear any existing murmur sounds in heart sounds is crucial for proper diagnosis. This work aims to improve heart sound by the use of a …","","https://scholar.google.com/scholar?q=related:fTIYXqjaEj4J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
1,"Z Sabouri, A Ghadimi…","Effective features extraction by analyzing heart sound for identifying cardiovascular diseases related to COVID-19: A diagnostic model",2022,"Proceedings of the …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/09544119221112523","https://scholar.google.com/scholar?cites=12926149806649001149&as_sdt=80005&sciodt=0,11&hl=en",37,"2026-08-23 16:46:44","","10.1177/09544119221112523","",,,,,,1,0.25,0,3,4,"Incidence and exacerbation of some of the cardiovascular diseases in the presence of the coronavirus will lead to an increase in the mortality rate among patients. Therefore, early …","","https://scholar.google.com/scholar?q=related:vUTMcsPoYrMJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
1,"J Li, K Wang, C Ni, TR Lin","A multi-synchrosqueezing ridge extraction transform for the analysis of non-stationary multi-component signals",2021,"2021 Global Reliability and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9613112/","https://scholar.google.com/scholar?cites=4221657928683586477&as_sdt=80005&sciodt=0,11&hl=en",38,"2026-08-23 16:46:44","","","",,,,,,1,0.20,0,4,5,"Condition monitoring (CM) signals of rotating machines operating under varying speed condition typically exhibit amplitude modulation and frequency modulation characteristics. A …","","https://scholar.google.com/scholar?q=related:rYNl0oRXljoJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"VM Shervegar","Informatics and Health",,"researchgate.net","","https://www.researchgate.net/profile/Vishwanath-Shervegar/publication/388890162_Heart_sound_classification_technique_for_early_CVD_detection_using_improved_wavelet_time_scattering_and_discriminant_analysis_classifiers/links/67ab9d928311ce680c5e6829/Heart-sound-classification-technique-for-early-CVD-detection-using-improved-wavelet-time-scattering-and-discriminant-analysis-classifiers.pdf","",39,"2026-08-23 16:46:44","PDF","","",,,,,,0,0.00,0,1,,"Objective: PCG represents the acoustic replay of heart sounds from the cardiac structure. To detect and analyse the different conditions of the heart, heart sound signals are essential …","https://www.researchgate.net/profile/Vishwanath-Shervegar/publication/388890162_Heart_sound_classification_technique_for_early_CVD_detection_using_improved_wavelet_time_scattering_and_discriminant_analysis_classifiers/links/67ab9d928311ce680c5e6829/Heart-sound-classification-technique-for-early-CVD-detection-using-improved-wavelet-time-scattering-and-discriminant-analysis-classifiers.pdf","https://scholar.google.com/scholar?q=related:Vq4Vx6nR3m8J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"O Karabiber Cura, A Akan, HS TURE","Classification of Epileptic and Psychogenic Non-Epileptic Seizures by Using Time-Frequency Features of Eeg Signals",,"Available at SSRN 4240637","","","",40,"2026-08-23 16:46:44","CITATION","","",,,,,,0,0.00,0,3,,"","","https://scholar.google.com/scholar?q=related:p_IQC5bAbsoJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
